name,agency,location,access,sec,range
"NB-IRDT",2,2,1,1,2
"IAB RDC",2,1,2,1,2
"IAB JoSuA",2,2,3,3,2
"IAB SUF",3,3,3,2,3
"OLDA",3,3,3,3,3
"PCRI",2,1,3,3,2
"FSRDC",2,1,1,1,3
"RTRA",1,1,3,3,1
"SPN",1,2,2,2,3
"NCES",3,3,3,2,3
"SFUSD",3,3,3,3,3
"OLDA",3,3,3,3,3
"Aurora",3,3,3,3,3
"CCT",3,3,3,3,3
"DIME",3,3,3,3,3
